Index	Field_ID	Sample_ID	Site_ID	UTM_Zone	UTM_Easting	UTM_Northing	Location_vs_WWTP	Sample_Type	Sample_Label	Taxon	FFG	Analysis_Type	Temperature	DO	Conductivity	TDS	pH	NH4	NH3	Collection_Date	Researcher	Crew	Scribe
26	Spider-KIW-6	KK244	REF3	17	542484.9	4816999.96	Upstream	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-30	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
27	Spider-KIW-7	KK245	REF3	17	542484.9	4816999.96	Upstream	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-30	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
28	Spider-KIW-8	KK246	REF3	17	542484.9	4816999.96	Upstream	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-30	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
29	Spider-KIW-9	KK247	REF3	17	542484.9	4816999.96	Upstream	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-30	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
30	Spider-KIW-10	KK248	REF3	17	542484.9	4816999.96	Upstream	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-30	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
31	Spider-EIT-1	KK249	DSW1	17	542619.24	4813514.68	Downstream_Waterloo	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-30	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
32	Spider-EIT-2	KK250	DSW1	17	542619.24	4813514.68	Downstream_Waterloo	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-30	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
33	Spider-EIT-3	KK251	DSW1	17	542619.24	4813514.68	Downstream_Waterloo	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-30	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
34	Spider-EIT-4	KK252	DSW1	17	542619.24	4813514.68	Downstream_Waterloo	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-30	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
35	Spider-EIT-5	KK253	DSW1	17	542619.24	4813514.68	Downstream_Waterloo	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-30	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
36	Spider-EIT-6	KK254	DSW1	17	542619.24	4813514.68	Downstream_Waterloo	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-30	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
37	Spider-EIT-7	KK255	DSW1	17	542619.24	4813514.68	Downstream_Waterloo	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-30	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
38	Spider-EIT-8	KK256	DSW1	17	542619.24	4813514.68	Downstream_Waterloo	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-30	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
39	Spider-EIT-9	KK257	DSW1	17	542619.24	4813514.68	Downstream_Waterloo	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-30	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
40	Spider-EIT-10	KK258	DSW1	17	542619.24	4813514.68	Downstream_Waterloo	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-30	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
41	Spider-FWY-1	KK259	DSW2	17	548640.78	4810377.83	Downstream_Waterloo	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-03-03	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
42	Spider-FWY-2	KK260	DSW2	17	548640.78	4810377.83	Downstream_Waterloo	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-03-03	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
43	Spider-FWY-3	KK261	DSW2	17	548640.78	4810377.83	Downstream_Waterloo	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-03-03	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
44	Spider-FWY-4	KK262	DSW2	17	548640.78	4810377.83	Downstream_Waterloo	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-03-03	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
45	Spider-FWY-5	KK263	DSW2	17	548640.78	4810377.83	Downstream_Waterloo	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-03-03	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
46	Spider-FWY-6	KK264	DSW2	17	548640.78	4810377.83	Downstream_Waterloo	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-03-03	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
47	Spider-FWY-7	KK265	DSW2	17	548640.78	4810377.83	Downstream_Waterloo	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-03-03	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
48	Spider-FWY-8	KK266	DSW2	17	548640.78	4810377.83	Downstream_Waterloo	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-03-03	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
49	Spider-FWY-9	KK267	DSW2	17	548640.78	4810377.83	Downstream_Waterloo	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-03-03	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
50	Spider-FWY-10	KK268	DSW2	17	548640.78	4810377.83	Downstream_Waterloo	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-03-03	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
51	Spider-HR-1	KK269	DSW3	17	545947.49	4806471.76	Downstream_Waterloo	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-03-03	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
52	Spider-HR-2	KK270	DSW3	17	545947.49	4806471.76	Downstream_Waterloo	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-03-03	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
53	Spider-HR-3	KK271	DSW3	17	545947.49	4806471.76	Downstream_Waterloo	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-03-03	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
54	Spider-HR-4	KK272	DSW3	17	545947.49	4806471.76	Downstream_Waterloo	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-03-03	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
55	Spider-HR-5	KK273	DSW3	17	545947.49	4806471.76	Downstream_Waterloo	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-03-03	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
56	Spider-HR-6	KK274	DSW3	17	545947.49	4806471.76	Downstream_Waterloo	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-03-03	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
57	Spider-HR-7	KK275	DSW3	17	545947.49	4806471.76	Downstream_Waterloo	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-03-03	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
58	Spider-HR-8	KK276	DSW3	17	545947.49	4806471.76	Downstream_Waterloo	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-03-03	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
59	Spider-HR-9	KK277	DSW3	17	545947.49	4806471.76	Downstream_Waterloo	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-03-03	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
60	Spider-HR-10	KK278	DSW3	17	545947.49	4806471.76	Downstream_Waterloo	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-03-03	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
61	Spider-PT1-1	KK279	DSK1	17	547328.7	4805154.73	Downstream_Kitchener	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-27	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
62	Spider-PT1-2	KK280	DSK1	17	547328.7	4805154.73	Downstream_Kitchener	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-27	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
63	Spider-PT1-4	KK282	DSK1	17	547328.7	4805154.73	Downstream_Kitchener	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-27	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
64	Spider-PT1-5	KK283	DSK1	17	547328.7	4805154.73	Downstream_Kitchener	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-27	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
65	Spider-PT1-7	KK285	DSK1	17	547328.7	4805154.73	Downstream_Kitchener	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-27	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
66	Spider-PT1-8	KK286	DSK1	17	547328.7	4805154.73	Downstream_Kitchener	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-27	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
67	Spider-PT1-9	KK287	DSK1	17	547328.7	4805154.73	Downstream_Kitchener	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-27	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
68	Spider-PT1-10	KK288	DSK1	17	547328.7	4805154.73	Downstream_Kitchener	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-27	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
69	Spider-PT2-1	KK289	DSK2	17	548162.54	4804944.67	Downstream_Kitchener	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-27	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
70	Spider-PT2-2	KK290	DSK2	17	548162.54	4804944.67	Downstream_Kitchener	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-27	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
71	Spider-PT2-3	KK291	DSK2	17	548162.54	4804944.67	Downstream_Kitchener	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-27	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
72	Spider-PT2-4	KK292	DSK2	17	548162.54	4804944.67	Downstream_Kitchener	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-27	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
73	Spider-PT2-5	KK293	DSK2	17	548162.54	4804944.67	Downstream_Kitchener	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-27	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
74	Spider-PT2-6	KK294	DSK2	17	548162.54	4804944.67	Downstream_Kitchener	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-27	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
75	Spider-PT2-7	KK295	DSK2	17	548162.54	4804944.67	Downstream_Kitchener	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-27	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
76	Spider-PT2-8	KK296	DSK2	17	548162.54	4804944.67	Downstream_Kitchener	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-27	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
77	Spider-PT2-9	KK297	DSK2	17	548162.54	4804944.67	Downstream_Kitchener	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-27	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
78	Spider-PT2-10	KK298	DSK2	17	548162.54	4804944.67	Downstream_Kitchener	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-27	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
79	Spider-BLR-1	KK299	DSK3	17	549676.09	4804091.82	Downstream_Kitchener	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-27	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
80	Spider-BLR-2	KK300	DSK3	17	549676.09	4804091.82	Downstream_Kitchener	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-27	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
81	Spider-BLR-3	KK301	DSK3	17	549676.09	4804091.82	Downstream_Kitchener	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-27	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
82	Spider-BLR-4	KK302	DSK3	17	549676.09	4804091.82	Downstream_Kitchener	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-27	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
83	Spider-BLR-5	KK303	DSK3	17	549676.09	4804091.82	Downstream_Kitchener	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-27	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
84	Spider-BLR-6	KK304	DSK3	17	549676.09	4804091.82	Downstream_Kitchener	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-27	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
85	Spider-BLR-7	KK305	DSK3	17	549676.09	4804091.82	Downstream_Kitchener	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-27	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
86	Spider-BLR-8	KK306	DSK3	17	549676.09	4804091.82	Downstream_Kitchener	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-27	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
87	Spider-BLR-9	KK307	DSK3	17	549676.09	4804091.82	Downstream_Kitchener	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-27	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
88	Spider-BLR-10	KK308	DSK3	17	549676.09	4804091.82	Downstream_Kitchener	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-09-27	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
89	Spider-GM-1	KK309	DSK4	17	552945.26	4791714.72	Downstream_Kitchener	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-03-03	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
90	Spider-GM-2	KK310	DSK4	17	552945.26	4791714.72	Downstream_Kitchener	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-03-03	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
91	Spider-GM-3	KK311	DSK4	17	552945.26	4791714.72	Downstream_Kitchener	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-03-03	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
92	Spider-GM-4	KK312	DSK4	17	552945.26	4791714.72	Downstream_Kitchener	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-03-03	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
93	Spider-GM-5	KK313	DSK4	17	552945.26	4791714.72	Downstream_Kitchener	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-03-03	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
94	Spider-GM-6	KK314	DSK4	17	552945.26	4791714.72	Downstream_Kitchener	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-03-03	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
95	Spider-GM-7	KK315	DSK4	17	552945.26	4791714.72	Downstream_Kitchener	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-03-03	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
96	Spider-GM-8	KK316	DSK4	17	552945.26	4791714.72	Downstream_Kitchener	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-03-03	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
97	Spider-GM-9	KK317	DSK4	17	552945.26	4791714.72	Downstream_Kitchener	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-03-03	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
98	Spider-GM-10	KK318	DSK4	17	552945.26	4791714.72	Downstream_Kitchener	Whole_spider	Spiders	Tetragnathidae	Predator	Microbiome								2018-03-03	Elise Millar	"Elise Millar, Victoria Restivo"	Victoria Restivo
99	Mussel-WMR-1	KK319	REF1	17	541845.31	4825942.73	Upstream	Mussel_gut	Mussels	Lasmigona costata	Filterer	Microbiome								2018-03-10	Elise Millar	"Elise Millar, Victoria Restivo, Patty Gillis, Joe Salerno, Jim Bennett"	Victoria Restivo
100	Mussel-WMR-2	KK320	REF1	17	541845.31	4825942.73	Upstream	Mussel_gut	Mussels	Lasmigona costata	Filterer	Microbiome								2018-03-10	Elise Millar	"Elise Millar, Victoria Restivo, Patty Gillis, Joe Salerno, Jim Bennett"	Victoria Restivo
101	Mussel-WMR-3	KK321	REF1	17	541845.31	4825942.73	Upstream	Mussel_gut	Mussels	Lasmigona costata	Filterer	Microbiome								2018-03-10	Elise Millar	"Elise Millar, Victoria Restivo, Patty Gillis, Joe Salerno, Jim Bennett"	Victoria Restivo
102	Mussel-WMR-4	KK322	REF1	17	541845.31	4825942.73	Upstream	Mussel_gut	Mussels	Lasmigona costata	Filterer	Microbiome								2018-03-10	Elise Millar	"Elise Millar, Victoria Restivo, Patty Gillis, Joe Salerno, Jim Bennett"	Victoria Restivo
103	Mussel-WMR-5	KK323	REF1	17	541845.31	4825942.73	Upstream	Mussel_gut	Mussels	Lasmigona costata	Filterer	Microbiome								2018-03-10	Elise Millar	"Elise Millar, Victoria Restivo, Patty Gillis, Joe Salerno, Jim Bennett"	Victoria Restivo
104	Mussel-WMR-6	KK324	REF1	17	541845.31	4825942.73	Upstream	Mussel_gut	Mussels	Lasmigona costata	Filterer	Microbiome								2018-03-10	Elise Millar	"Elise Millar, Victoria Restivo, Patty Gillis, Joe Salerno, Jim Bennett"	Victoria Restivo
105	Mussel-WMR-7	KK325	REF1	17	541845.31	4825942.73	Upstream	Mussel_gut	Mussels	Lasmigona costata	Filterer	Microbiome								2018-03-10	Elise Millar	"Elise Millar, Victoria Restivo, Patty Gillis, Joe Salerno, Jim Bennett"	Victoria Restivo
106	Mussel-WMR-8	KK326	REF1	17	541845.31	4825942.73	Upstream	Mussel_gut	Mussels	Lasmigona costata	Filterer	Microbiome								2018-03-10	Elise Millar	"Elise Millar, Victoria Restivo, Patty Gillis, Joe Salerno, Jim Bennett"	Victoria Restivo
107	Mussel-WMR-9	KK327	REF1	17	541845.31	4825942.73	Upstream	Mussel_gut	Mussels	Lasmigona costata	Filterer	Microbiome								2018-03-10	Elise Millar	"Elise Millar, Victoria Restivo, Patty Gillis, Joe Salerno, Jim Bennett"	Victoria Restivo
108	Mussel-WMR-10	KK328	REF1	17	541845.31	4825942.73	Upstream	Mussel_gut	Mussels	Lasmigona costata	Filterer	Microbiome								2018-03-10	Elise Millar	"Elise Millar, Victoria Restivo, Patty Gillis, Joe Salerno, Jim Bennett"	Victoria Restivo
109	Mussel-KIW-1	KK329	REF2	17	542484.9	4816999.96	Upstream	Mussel_gut	Mussels	Lasmigona costata	Filterer	Microbiome								2018-03-12	Elise Millar	"Elise Millar, Victoria Restivo, Patty Gillis, Joe Salerno, Jim Bennett"	Victoria Restivo
110	Mussel-KIW-2	KK330	REF2	17	542484.9	4816999.96	Upstream	Mussel_gut	Mussels	Lasmigona costata	Filterer	Microbiome								2018-03-12	Elise Millar	"Elise Millar, Victoria Restivo, Patty Gillis, Joe Salerno, Jim Bennett"	Victoria Restivo
111	Mussel-KIW-3	KK331	REF2	17	542484.9	4816999.96	Upstream	Mussel_gut	Mussels	Lasmigona costata	Filterer	Microbiome								2018-03-12	Elise Millar	"Elise Millar, Victoria Restivo, Patty Gillis, Joe Salerno, Jim Bennett"	Victoria Restivo
112	Mussel-KIW-4	KK332	REF2	17	542484.9	4816999.96	Upstream	Mussel_gut	Mussels	Lasmigona costata	Filterer	Microbiome								2018-03-12	Elise Millar	"Elise Millar, Victoria Restivo, Patty Gillis, Joe Salerno, Jim Bennett"	Victoria Restivo
113	Mussel-KIW-5	KK333	REF2	17	542484.9	4816999.96	Upstream	Mussel_gut	Mussels	Lasmigona costata	Filterer	Microbiome								2018-03-12	Elise Millar	"Elise Millar, Victoria Restivo, Patty Gillis, Joe Salerno, Jim Bennett"	Victoria Restivo
114	Mussel-KIW-6	KK334	REF2	17	542484.9	4816999.96	Upstream	Mussel_gut	Mussels	Lasmigona costata	Filterer	Microbiome								2018-03-12	Elise Millar	"Elise Millar, Victoria Restivo, Patty Gillis, Joe Salerno, Jim Bennett"	Victoria Restivo
115	Mussel-KIW-7	KK335	REF2	17	542484.9	4816999.96	Upstream	Mussel_gut	Mussels	Lasmigona costata	Filterer	Microbiome								2018-03-12	Elise Millar	"Elise Millar, Victoria Restivo, Patty Gillis, Joe Salerno, Jim Bennett"	Victoria Restivo
116	Mussel-KIW-8	KK336	REF2	17	542484.9	4816999.96	Upstream	Mussel_gut	Mussels	Lasmigona costata	Filterer	Microbiome								2018-03-12	Elise Millar	"Elise Millar, Victoria Restivo, Patty Gillis, Joe Salerno, Jim Bennett"	Victoria Restivo
